delegacia_name,year,roubo_outros,note
01º D.P. ATIBAIA,2022,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ATIBAIA,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ATIBAIA,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BARRA DO TURVO,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BARUERI,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BARUERI,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BRAGANÇA PAULISTA,2022,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAIEIRAS,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAIEIRAS,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAJAMAR,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAMPINAS,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAMPINAS,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAMPINAS,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAPÃO BONITO,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CARAGUATATUBA,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CARAPICUIBA,2022,7,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CARAPICUIBA,2023,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CARAPICUIBA,2024,6,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. COTIA,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. COTIA,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CUBATÃO,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CUBATÃO,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. DIADEMA,2022,36,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. DIADEMA,2023,20,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. DIADEMA,2024,17,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. EMBU DAS ARTES,2022,22,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. EMBU DAS ARTES,2023,14,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. EMBU DAS ARTES,2024,26,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. FERRAZ VASCONCELOS,2022,24,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. FERRAZ VASCONCELOS,2023,17,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. FERRAZ VASCONCELOS,2024,8,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. GUARATINGUETA,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. GUARUJA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. GUARUJA,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. GUARULHOS,2022,9,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. GUARULHOS,2023,6,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. GUARULHOS,2024,9,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. HORTOLÂNDIA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITAPECERICA DA SERRA,2022,14,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITAPECERICA DA SERRA,2023,8,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITAPECERICA DA SERRA,2024,9,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITAQUAQUECETUBA,2022,7,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITAQUAQUECETUBA,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITAQUAQUECETUBA,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITATIBA,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ITATIBA,2024,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. JACAREI,2022,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. JUNDIAI,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. JUNDIAI,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. JUNDIAI,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. LEME,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. LIMEIRA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. LIMEIRA,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. MAIRIPORÃ,2022,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. MAIRIPORÃ,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. MAIRIPORÃ,2024,5,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. MOGI DAS CRUZES,2022,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. MOGI DAS CRUZES,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. MONGAGUA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. MONGAGUA,2023,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. OSASCO,2022,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. OSASCO,2023,8,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. OSASCO,2024,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. PARAGUACU PAULISTA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. PERUIBE,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. PERUIBE,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. PRAIA GRANDE-VL. TUPI,2022,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. PRAIA GRANDE-VL. TUPI,2023,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. PRAIA GRANDE-VL. TUPI,2024,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. RIBEIRAO PRETO,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. RIO CLARO,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S. JOAO DA BOA VISTA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.B.C-DR OMAR CASSIM,2022,6,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.B.C-DR OMAR CASSIM,2023,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.B.C-DR OMAR CASSIM,2024,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.CAETANO DO SUL,2022,5,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.CAETANO DO SUL,2023,9,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.CAETANO DO SUL,2024,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.CRUZ DO RIO PARDO,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.JOSE DOS CAMPOS,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.JOSE DOS CAMPOS,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. S.SEBASTIÃO,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SANTO ANDRÉ,2022,10,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SANTO ANDRÉ,2023,6,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SANTO ANDRÉ,2024,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SANTOS,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SANTOS,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SE,2022,1105,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SE,2023,1020,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SE,2024,666,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SUMARE,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SUZANO,2024,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SÃO VICENTE,2023,5,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. SÃO VICENTE,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. TABOÃO DA SERRA,2022,39,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. TABOÃO DA SERRA,2023,30,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. TABOÃO DA SERRA,2024,31,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. TAUBATE,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. VALINHOS,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. VALINHOS,2024,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º DP MAUA-DR.ALFREDO GARBINO,2022,12,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º DP MAUA-DR.ALFREDO GARBINO,2023,17,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º DP MAUA-DR.ALFREDO GARBINO,2024,9,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. ATIBAIA,2022,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. ATIBAIA,2024,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. BARUERI,2022,3,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. BARUERI,2023,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. BARUERI,2024,5,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. BOM RETIRO,2022,177,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. BOM RETIRO,2023,152,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. BOM RETIRO,2024,123,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. BRAGANÇA PAULISTA,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. CAMPINAS,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. CARAGUATATUBA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. CARAPICUIBA,2022,10,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. CARAPICUIBA,2023,11,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. CARAPICUIBA,2024,6,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. COTIA,2022,13,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. COTIA,2023,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. COTIA,2024,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. CUBATÃO,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. CUBATÃO,2024,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. DIADEMA,2022,10,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. DIADEMA,2023,7,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. DIADEMA,2024,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. GUARUJA,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
02º D.P. GUARUJA,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
